-80	-40	40.7581688943
-80	-39.5	38.3883670497
-80	-39.0	36.0475236147
-80	-38.5	33.7352578911
-80	-38.0	31.4511971063
-80	-37.5	29.1949764139
-80	-37.0	26.9662388933
-80	-36.5	24.7646355503
-80	-36.0	22.5898253162
-80	-35.5	20.4414750487
-80	-35.0	18.3192595312
-80	-34.5	16.2228614734
-80	-34.0	14.1519715108
-80	-33.5	12.1062882049
-80	-33.0	10.0855180432
-80	-32.5	8.08937543934
-80	-32.0	6.11758273284
-80	-31.5	4.16987018922
-80	-31.0	2.24597600004
-80	-30.5	0.345646282832
-80	-30.0	-1.53136491885
-80	-29.5	-3.38529563547
-80	-29.0	-5.21637597147
-80	-28.5	-7.02482810533
-80	-28.0	-8.81086628948
-80	-27.5	-10.5746968504
-80	-27.0	-12.3165181885
-80	-26.5	-14.0365207783
-80	-26.0	-15.7348871683
-80	-25.5	-17.4117919808
-80	-25.0	-19.0674019124
-80	-24.5	-20.7018757334
-80	-24.0	-22.3153642885
-80	-23.5	-23.9080104959
-80	-23.0	-25.4799493482
-80	-22.5	-27.0313079118
-80	-22.0	-28.5622053272
-80	-21.5	-30.0727528089
-80	-21.0	-31.5630536452
-80	-20.5	-33.0332031987
-80	-20.0	-34.4832889058
-80	-19.5	-35.9133902769
-80	-19.0	-37.3235788966
-80	-18.5	-38.7139184233
-80	-18.0	-40.0844645893
-80	-17.5	-41.4352652013
-80	-17.0	-42.7663601396
-80	-16.5	-44.0777813588
-80	-16.0	-45.3695528871
-80	-15.5	-46.6416908272
-80	-15.0	-47.8942033555
-80	-14.5	-49.1270907224
-80	-14.0	-50.3403452524
-80	-13.5	-51.5339513439
-80	-13.0	-52.7078854694
-80	-12.5	-53.8621161754
-80	-12.0	-54.9966040822
-80	-11.5	-56.1113018845
-80	-11.0	-57.2061543505
-80	-10.5	-58.2810983229
-80	-10.0	-59.336062718
-80	-9.5	-60.3709685262
-80	-9.0	-61.3857288122
-80	-8.5	-62.3802487142
-80	-8.0	-63.3544254448
-80	-7.5	-64.3081482904
-80	-7.0	-65.2412986114
-80	-6.5	-66.1537498425
-80	-6.0	-67.0453674918
-80	-5.5	-67.9160091421
-80	-5.0	-68.7655244496
-80	-4.5	-69.5937551449
-80	-4.0	-70.4005350324
-80	-3.5	-71.1856899906
-80	-3.0	-71.9490379719
-80	-2.5	-72.6903890028
-80	-2.0	-73.4095451837
-80	-1.5	-74.1063006891
-80	-1.0	-74.7804417675
-80	-0.5	-75.4317467413
-80	0.0	-76.0599860069
-80	0.5	-76.6649220349
-80	1.0	-77.2463093696
-80	1.5	-77.8038946296
-80	2.0	-78.3374165073
-80	2.5	-78.8466057691
-80	3.0	-79.3311852555
-80	3.5	-79.790869881
-80	4.0	-80.2253666339
-80	4.5	-80.6343745769
-80	5.0	-81.0175848463
-80	5.5	-81.3746806526
-80	6.0	-81.7053372802
-80	6.5	-82.0092220876
-80	7.0	-82.2859945073
-80	7.5	-82.5353060456
-80	8.0	-82.7568002832
-80	8.5	-82.9501128744
-80	9.0	-83.1148715476
-80	9.5	-83.2506961054
-80	10.0	-83.3571984242
-79.5	-40	39.2656169319
-79.5	-39.5	36.9426908943
-79.5	-39.0	34.6483652103
-79.5	-38.5	32.3822590716
-79.5	-38.0	30.1439995959
-79.5	-37.5	27.9332218268
-79.5	-37.0	25.749568734
-79.5	-36.5	23.5926912132
-79.5	-36.0	21.4622480861
-79.5	-35.5	19.3579061002
-79.5	-35.0	17.2793399294
-79.5	-34.5	15.2262321732
-79.5	-34.0	13.1982733573
-79.5	-33.5	11.1951619335
-79.5	-33.0	9.21660427924
-79.5	-32.5	7.26231469835
-79.5	-32.0	5.33201542046
-79.5	-31.5	3.42543660124
-79.5	-31.0	1.54231632235
-79.5	-30.5	-0.317599408542
-79.5	-30.0	-2.15455665776
-79.5	-29.5	-3.96879356564
-79.5	-29.0	-5.7605403465
-79.5	-28.5	-7.53001928869
-79.5	-28.0	-9.27744475454
-79.5	-27.5	-11.0030231804
-79.5	-27.0	-12.7069530765
-79.5	-26.5	-14.3894250273
-79.5	-26.0	-16.0506216911
-79.5	-25.5	-17.6907178002
-79.5	-25.0	-19.3098801609
-79.5	-24.5	-20.9082676536
-79.5	-24.0	-22.4860312326
-79.5	-23.5	-24.0433139263
-79.5	-23.0	-25.5802508369
-79.5	-22.5	-27.0969691408
-79.5	-22.0	-28.5935880884
-79.5	-21.5	-30.0702190039
-79.5	-21.0	-31.5269652857
-79.5	-20.5	-32.9639224062
-79.5	-20.0	-34.3811779115
-79.5	-19.5	-35.7788114222
-79.5	-19.0	-37.1568946325
-79.5	-18.5	-38.5154913108
-79.5	-18.0	-39.8546572993
-79.5	-17.5	-41.1744405145
-79.5	-17.0	-42.4748809466
-79.5	-16.5	-43.75601066
-79.5	-16.0	-45.0178537929
-79.5	-15.5	-46.2604265579
-79.5	-15.0	-47.4837372411
-79.5	-14.5	-48.6877862029
-79.5	-14.0	-49.8725658776
-79.5	-13.5	-51.0380607736
-79.5	-13.0	-52.1842474732
-79.5	-12.5	-53.3110946327
-79.5	-12.0	-54.4185629825
-79.5	-11.5	-55.5066053269
-79.5	-11.0	-56.5751665442
-79.5	-10.5	-57.6241835868
-79.5	-10.0	-58.6535854809
-79.5	-9.5	-59.663293327
-79.5	-9.0	-60.6532202993
-79.5	-8.5	-61.6232716462
-79.5	-8.0	-62.57334469
-79.5	-7.5	-63.5033288271
-79.5	-7.0	-64.4131055277
-79.5	-6.5	-65.3025483362
-79.5	-6.0	-66.171522871
