-80	-40	5.22285001625
-80	-39.5	6.61251549464
-80	-39.0	7.96987646154
-80	-38.5	9.29557062632
-80	-38.0	10.5902306973
-80	-37.5	11.854484382
-80	-37.0	13.0889543866
-80	-36.5	14.2942584165
-80	-36.0	15.4710091762
-80	-35.5	16.6198143689
-80	-35.0	17.741276697
-80	-34.5	18.835993862
-80	-34.0	19.9045585641
-80	-33.5	20.9475585027
-80	-33.0	21.9655763762
-80	-32.5	22.959189882
-80	-32.0	23.9289717164
-80	-31.5	24.8754895748
-80	-31.0	25.7993061515
-80	-30.5	26.7009791399
-80	-30.0	27.5810612325
-80	-29.5	28.4401001204
-80	-29.0	29.2786384942
-80	-28.5	30.0972140431
-80	-28.0	30.8963594556
-80	-27.5	31.676602419
-80	-27.0	32.4384656196
-80	-26.5	33.1824667429
-80	-26.0	33.9091184732
-80	-25.5	34.6189284938
-80	-25.0	35.3123994872
-80	-24.5	35.9900291346
-80	-24.0	36.6523101165
-80	-23.5	37.2997301122
-80	-23.0	37.9327718001
-80	-22.5	38.5519128576
-80	-22.0	39.157625961
-80	-21.5	39.7503787856
-80	-21.0	40.3306340059
-80	-20.5	40.8988492952
-80	-20.0	41.4554773258
-80	-19.5	42.0009657692
-80	-19.0	42.5357572957
-80	-18.5	43.0602895747
-80	-18.0	43.5749952745
-80	-17.5	44.0803020625
-80	-17.0	44.576632605
-80	-16.5	45.0644045675
-80	-16.0	45.5440306143
-80	-15.5	46.0159184087
-80	-15.0	46.4804706131
-80	-14.5	46.9380848889
-80	-14.0	47.3891538965
-80	-13.5	47.8340652952
-80	-13.0	48.2732017433
-80	-12.5	48.7069408983
-80	-12.0	49.1356554165
-80	-11.5	49.5597129533
-80	-11.0	49.979476163
-80	-10.5	50.395302699
-80	-10.0	50.8075452137
-80	-9.5	51.2165513584
-80	-9.0	51.6226637835
-80	-8.5	52.0262201383
-80	-8.0	52.4275530713
-80	-7.5	52.8269902297
-80	-7.0	53.2248542601
-80	-6.5	53.6214628076
-80	-6.0	54.0171285167
-80	-5.5	54.4121590308
-80	-5.0	54.8068569921
-80	-4.5	55.2015200422
-80	-4.0	55.5964408213
-80	-3.5	55.9919069688
-80	-3.0	56.388201123
-80	-2.5	56.7856009214
-80	-2.0	57.1843790003
-80	-1.5	57.5848029951
-80	-1.0	57.9871355401
-80	-0.5	58.3916342687
-80	0.0	58.7985518132
-80	0.5	59.2081358051
-80	1.0	59.6206288746
-80	1.5	60.0362686512
-80	2.0	60.4552877632
